closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
        Hattori Kyahan +1 |          0 |           Wardrobe 5 |                                                                                          |                                            hattori kyahan +1
     Handler's Earring +1 |          0 |           Wardrobe 5 |                                                                                          |                                         handler's earring +1
          Infused Earring |          0 |           Wardrobe 4 |                                                                                          |                                              infused earring
       Chasseur's Frac +2 |          0 |                 Case |                                                                                          |                                           chasseur's frac +2
          Cornelia's Belt |          0 |                 Sack |                                                                                          |                                              Cornelia's belt
         Mizu. Kubikazari |          0 |           Wardrobe 5 |                                                                                          |                                       Mizukage-no-Kubikazari
           Moonlight Cape |          0 |           Wardrobe 6 |                                                                                          |                                               moonlight cape
          Killer Shortbow |          0 |              Satchel |                                                                                          |                                              killer shortbow
         Hermetic Earring |          0 |           Wardrobe 5 |                                                                                          |                                             hermetic earring
         Souv. Cuirass +1 |          0 |             Wardrobe |                                                                                          |                                          souveran cuirass +1
           Geo. Galero +1 |          0 |                 Safe |                                                                                          |                                           geomancy galero +1
            Wicce Earring |          0 |           Safe, Case |                                                                                          |                                                wicce earring
          Pumm. Lorica +3 |          0 |             Wardrobe |                                                                                          |                                         pummeler's lorica +3
       Inyan. Crackows +2 |          0 |               Safe 2 |                                                                                          |                                          Inyanga crackows +2
         Ig. Flanchard +3 |          0 |           Wardrobe 8 |                                                                                          |                                        ignominy flanchard +3
           Adhemar Bonnet |          0 |            Inventory |                                                                                          |                                               adhemar bonnet
        Karagoz Scarpe +2 |          0 |               Locker |                                                                                          |                                            karagoz scarpe +2
         Zennaroi Earring |          0 |               Locker |                                                                                          |                                             zennaroi earring
                 Akademos |          0 |           Wardrobe 2 |                                                                                          |                                                     akademos
           Arc. Jerkin +3 |          0 |                 Safe |                                                                                          |                                           arcadian jerkin +3
              Baayami Hat |          0 |           Wardrobe 6 |                                                                                          |                                                  Baayami hat
           Digni. Earring |          0 |           Wardrobe 5 |                                                                                          |                                          dignitary's earring
           Mantoptera Eye |          0 |           Wardrobe 5 |                                                                                          |                                               mantoptera eye
       Craftmaster's Ring |          0 |             Wardrobe |                                                                                          |                                           craftmaster's ring
            Animator P +1 |          0 |           Wardrobe 2 |                                                                                          |                                                animator P +1
                 Yamarang |          0 |           Wardrobe 3 |                                                                                          |                                                     yamarang
            Geo. Tunic +1 |          0 |                 Safe |                                                                                          |                                            geomancy tunic +1
                   Aeneas |          0 |           Wardrobe 2 |                                                                                          |                                                       Aeneas
             Inyanga Ring |          0 |           Wardrobe 4 |                                                                                          |                                                 Inyanga ring
         Tali'ah Sera. +2 |          0 |           Wardrobe 6 |                                                                                          |                                         tali'ah seraweels +2
        Cumulus Masque +1 |          0 |               Locker |                                                                                          |                                            cumulus masque +1
                Homiliary |          0 |            Inventory |                                                                                          |                                                    homiliary
          Hippo. Socks +1 |          0 |               Safe 2 |                                                                                          |                                          Hippomenes socks +1
            Esper Earring |          0 |           Wardrobe 3 |                                                                                          |                                                esper earring
              Siegel Sash |          0 |           Wardrobe 5 |                                                                                          |                                                  siegel sash
         Esthete's Masque |          0 |                 Safe |                                                                                          |                                             esthete's masque
          Nyame Gauntlets |          0 |             Wardrobe |                                                                                          |                                              Nyame gauntlets
             Ephedra Ring |          0 |           Wardrobe 5 |                                                                                          |                                                 ephedra ring
       Diligence Grimoire |          0 |                 Case |                                                                                          |                                           diligence grimoire
             Samnuha Coat |          0 |            Inventory |                                                                                          |                                                 samnuha coat
               Agwu's Cap |          0 |           Wardrobe 8 |                                                                                          |                                                   Agwu's cap
           Nisroch Jerkin |          0 |           Wardrobe 8 |                                                                                          |                                               Nisroch jerkin
           Sam. Nodowa +2 |          0 |           Wardrobe 3 |                                                                                          |                                          samurai's nodowa +2
        Arcadian Beret +3 |          0 |           Wardrobe 2 |                                                                                          |                                            arcadian beret +3
          Tatena. Gote +1 |          0 |           Wardrobe 6 |                                                                                          |                                            tatenashi gote +1
                Kobo Kote |          0 |               Locker |                                                                                          |                                                    kobo kote
         Hervor Sollerets |          0 |               Safe 2 |                                                                                          |                                             Hervor sollerets
       Lustr. Subligar +1 |          0 |           Wardrobe 8 |                                                                                          |                                        lustratio subligar +1
         Glyphic Spats +1 |          0 |           Wardrobe 6 |                                                                                          |                                             glyphic spats +1
           Moonlight Ring |          0 |           Wardrobe 3 |                                                                                          |                                               moonlight ring
             Aizushintogo |          0 |           Wardrobe 2 |                                                                                          |                                                 aizushintogo
             Combuster +1 |          0 |               Safe 2 |                                                                                          |                                                 Combuster +1
        Lustr. Mittens +1 |          0 |           Wardrobe 8 |                                                                                          |                                         lustratio mittens +1
               Vermihumus |          0 |                 Case |                                                                                          |                                            jug of vermihumus
                  Gokotai |          0 |           Wardrobe 2 |                                                                                          |                                                      Gokotai
       Nukumi Manoplas +1 |          0 |               Locker |                                                                                          |                                           nukumi manoplas +1
             Erra Pendant |          0 |           Wardrobe 5 |                                                                                          |                                                 Erra pendant
       Glyphic Bracers +1 |          0 |           Wardrobe 6 |                                                                                          |                                           glyphic bracers +1
          Loxotic Mace +1 |          0 |           Wardrobe 2 |                                                                                          |                                              loxotic mace +1
                Trollbane |          0 |           Wardrobe 4 |                                                                                          |                                                    Trollbane
           Sailfi Belt +1 |          0 |           Wardrobe 5 |                                                                                          |                                               sailfi belt +1
        Kasuga Haidate +2 |          0 |           Wardrobe 7 |                                                                                          |                                            kasuga haidate +2
                 Burtgang |          0 |           Wardrobe 2 |                                                                                          |                                                     Burtgang
         Prosilio Belt +1 |          0 |           Wardrobe 4 |                                                                                          |                                             prosilio belt +1
             Sangarius +1 |          0 |           Wardrobe 2 |                                                                                          |                                                 Sangarius +1
         Bhikku Cyclas +2 |          0 |           Wardrobe 3 |                                                                                          |                                             bhikku cyclas +2
      Lustra. Leggings +1 |          0 |           Wardrobe 8 |                                                                                          |                                        lustratio leggings +1
                 Masamune |          0 |           Wardrobe 2 |                                                                                          |                                                     Masamune
           Artio's Mantle |          0 |           Wardrobe 6 |                                                                                          |                                               Artio's mantle
          Ioskeha Belt +1 |          0 |           Wardrobe 5 |                                                                                          |                                              ioskeha belt +1
          Shabti Sabatons |          0 |               Locker |                                                                                          |                                              shabti sabatons
         Riftborn Boulder |          0 |              Satchel |                                                                                          |                                             riftborn boulder
             Azrael's Eye |          0 |                 Sack |                                                                                          |                                                 Azrael's eye
          Globidonta Ring |          0 |              Satchel |                                                                                          |                                              globidonta ring
        Cab. Gauntlets +1 |          0 |           Wardrobe 8 |                                                                                          |                                     caballarius gauntlets +1
           Yggdreant Root |          0 |                 Sack |                                                                                          |                                               yggdreant root
         Tot. Trousers +3 |          0 |                 Safe |                                                                                          |                                          totemic trousers +3
       Gelatinous Ring +1 |          0 |           Wardrobe 3 |                                                                                          |                                           gelatinous ring +1
              Kumbhakarna |          0 |       Locker, Locker |                                                                                          |                                                  Kumbhakarna
         Demers. Degen +1 |          0 |           Wardrobe 2 |                                                                                          |                                            demersal degen +1
       Pitre Churidars +3 |          0 |           Wardrobe 7 |                                                                                          |                                           pitre churidars +3
               Skinflayer |          0 |               Locker |                                                                                          |                                                   Skinflayer
        Blurred Shield +1 |          0 |           Wardrobe 2 |                                                                                          |                                            blurred shield +1
          Sokolski Mantle |          0 |               Locker |                                                                                          |                                              sokolski mantle
           Odnowa Earring |          0 |           Wardrobe 5 |                                                                                          |                                               odnowa earring
            B.E.W. Pitaru |          0 |                 Sack |                                                                                          |                                                B.E.W. pitaru
         Artificer's Ring |          0 |             Wardrobe |                                                                                          |                                             artificer's ring
             Mending Cape |          0 |               Locker |                                                                                          |                                                 mending cape
          Arbatel Earring |          0 |                 Case |                                                                                          |                                              arbatel earring
       Jhakri Pigaches +2 |          0 |             Wardrobe |                                                                                          |                                           jhakri pigaches +2
              Malevolence |          0 | Wardrobe 6, Wardrobe 6 |                                                                                          |                                                  malevolence
           Ahosi Leggings |          0 |                 Safe |                                                                                          |                                               ahosi leggings
             Taeon Tabard |          0 |           Wardrobe 8 |                                                                                          |                                                 taeon tabard
           Esthete's Coat |          0 |               Safe 2 |                                                                                          |                                               esthete's coat
           Flamma Dirs +2 |          0 |             Wardrobe |                                                                                          |                                               flamma dirs +2
            Shaded Specs. |          0 |             Wardrobe |                                                                                          |                                            shaded spectacles
             Debahocho +1 |          0 |           Wardrobe 2 |                                                                                          |                                                 Debahocho +1
       Glyph. Pigaches +3 |          0 |           Wardrobe 7 |                                                                                          |                                          glyphic pigaches +3
               Digirbalag |          0 |       Locker, Locker |                                                                                          |                                                   Digirbalag
       Beatific Shield +1 |          0 |           Wardrobe 2 |                                                                                          |                                           beatific shield +1
          Heroism Crystal |          0 |              Satchel |                                                                                          |                                              heroism crystal
        Ikenga's Trousers |          0 |           Wardrobe 8 |                                                                                          |                                            Ikenga's trousers
               Vanya Hood |          0 |             Wardrobe |                                                                                          |                                                   vanya hood
              Bidenhander |          0 |                 Safe |                                                                                          |                                                  bidenhander
            Telos Earring |          0 |             Wardrobe |                                                                                          |                                                telos earring
          Wakido Sune. +2 |          0 |               Safe 2 |                                                                                          |                                           wakido sune-ate +2
           Andoaa Earring |          0 |             Wardrobe |                                                                                          |                                               andoaa earring
            Helios Gloves |          0 |               Locker |                                                                                          |                                                helios gloves
          Rev. Surcoat +3 |          0 |             Wardrobe |                                                                                          |                                         reverence surcoat +3
           Rufescent Ring |          0 |           Wardrobe 5 |                                                                                          |                                               rufescent ring
             Jumalik Mail |          0 |                 Sack |                                                                                          |                                                 jumalik mail
                     Gada |          0 |           Wardrobe 2 |                                                                                          |                                                         Gada
          Geo. Sandals +1 |          0 |                 Safe |                                                                                          |                                          geomancy sandals +1
                Maxentius |          0 |           Wardrobe 2 |                                                                                          |                                                    Maxentius
           Harvest Pastry |          0 |                 Safe |                                                                                          |                                               harvest pastry
              Icarus Wing |          0 |            Inventory |                                                                                          |                                                  icarus wing
            Thrud Earring |          0 |             Wardrobe |                                                                                          |                                                Thrud earring
        Forefathers' Grip |          0 |                 Safe |                                                                                          |                                            forefathers' grip
                Pearlsack |          0 |                 Case |                                                                                          |                                                    pearlsack
       Fallen's Sollerets |          0 |                 Case |                                                                                          |                                           fallen's sollerets
          Herculean Boots |          0 | Safe 2, Wardrobe 3, Wardrobe 7, Wardrobe 8 |                                                                                          |                                              herculean boots
          Dec. Bul. Pouch |          0 |                 Sack |                                                                                          |                                      decimating bullet pouch
                 Reikikon |          0 |               Safe 2 |                                                                                          |                                                     Reikikon
            Chrono Bullet |          0 |         Locker, Case |                                                                                          |                                                chrono bullet
          Wicce Sabots +1 |          0 |           Wardrobe 7 |                                                                                          |                                              wicce sabots +1
            C. Palug Ring |          0 |           Wardrobe 4 |                                                                                          |                                              Cath Palug ring
       Ghastly Tathlum +1 |          0 |           Wardrobe 2 |                                                                                          |                                           ghastly tathlum +1
                    Angon |          0 |              Satchel |                                                                                          |                                                        angon
          Toutatis's Cape |          0 |           Wardrobe 6 |                                                                                          |                                              Toutatis's cape
            Dusksoul Ring |          0 |           Wardrobe 3 |                                                                                          |                                                dusksoul ring
        Seeth. Bomblet +1 |          0 |           Wardrobe 2 |                                                                                          |                                          seething bomblet +1
            Excalipoor II |          0 |            Inventory |                                                                                          |                                                Excalipoor II
            Grape Daifuku |          0 |               Locker |                                                                                          |                                                grape daifuku
          Arc. Braccae +3 |          0 |             Wardrobe |                                                                                          |                                          arcadian braccae +3
          Atheling Mantle |          0 |             Wardrobe |                                                                                          |                                              atheling mantle
           Oshosi Mask +1 |          0 |            Inventory |                                                                                          |                                               Oshosi mask +1
           Ankusa Helm +3 |          0 |                 Safe |                                                                                          |                                               ankusa helm +3
               Heyoka Cap |          0 |           Wardrobe 6 |                                                                                          |                                                   Heyoka cap
          Darksteel Ingot |          0 |              Satchel |                                                                                          |                                              darksteel ingot
            Gleti's Knife |          0 |           Wardrobe 2 |                                                                                          |                                                Gleti's knife
            Merlinic Hood |          0 |           Wardrobe 7 |                                                                                          |                                                merlinic hood
               Umuthi Hat |          0 |                 Case |                                                                                          |                                                   umuthi hat
                  Sangoma |          0 |                 Safe |                                                                                          |                                                      Sangoma
             Qutrub Knife |          0 |            Inventory |                                                                                          |                                                 Qutrub knife
         Sak. Sune-Ate +3 |          0 |           Wardrobe 3 |                                                                                          |                                          sakonji sune-ate +3
                Tenkomaru |          0 |                 Case |                                                                                          |                                                    tenkomaru
              Ice Cluster |          0 |                 Sack |                                                                                          |                                                  ice cluster
          Glyphic Horn +1 |          0 |             Wardrobe |                                                                                          |                                              glyphic horn +1
          Marbled Drawers |          0 |                 Safe |                                                                                          |                                     chest of marbled drawers
              Fancy Gilet |          0 |               Safe 2 |                                                                                          |                                                  fancy gilet
             Dial Key #Ab |          0 | Safe, Locker, Satchel |                                                                                          |                                                 dial key #Ab
            Red Curry Bun |          0 |            Inventory |                                                                                          |                                                red curry bun
          Agwu's Pigaches |          0 |           Wardrobe 8 |                                                                                          |                                              Agwu's pigaches
                  Panacea |          0 |            Inventory |                                                                                          |                                             flask of panacea
              Pinga Pants |          0 |           Wardrobe 7 |                                                                                          |                                                  Pinga pants
          Jhakri Slops +2 |          0 |           Wardrobe 7 |                                                                                          |                                              jhakri slops +2
             Mdomo Axe +1 |          0 |               Safe 2 |                                                                                          |                                                 mdomo axe +1
             Meg. Jam. +2 |          0 |           Wardrobe 8 |                                                                                          |                                        meghanada jambeaux +2
            Beck. Earring |          0 |           Safe, Case |                                                                                          |                                           beckoner's earring
           Cimmerian Sash |          0 |           Wardrobe 5 |                                                                                          |                                               cimmerian sash
               Silent Oil |          0 |            Inventory |                                                                                          |                                            pot of silent oil
           Hervor Haubert |          0 |               Safe 2 |                                                                                          |                                               Hervor haubert
                  Kaidate |          0 |                 Safe |                                                                                          |                                                      kaidate
           Sakpata's Helm |          0 |             Wardrobe |                                                                                          |                                               Sakpata's helm
             Agwu's Gages |          0 |           Wardrobe 8 |                                                                                          |                                                 Agwu's gages
          Volunt. Earring |          0 |           Wardrobe 5 |                                                                                          |                                          volunteer's earring
           Nukumi Earring |          0 |                 Safe |                                                                                          |                                               nukumi earring
          Far East Hearth |          0 |                 Safe |                                                                                          |                                              Far East hearth
             Powder Boots |          0 |              Satchel |                                                                                          |                                                 powder boots
             Neo Animator |          0 |           Wardrobe 5 |                                                                                          |                                                 neo animator
       Pillager's Vest +3 |          0 |           Wardrobe 2 |                                                                                          |                                           pillager's vest +3
              Kishar Ring |          0 |           Wardrobe 5 |                                                                                          |                                                  Kishar ring
          Begrudging Ring |          0 |                 Sack |                                                                                          |                                              begrudging ring
           Sulevia's Ring |          0 |           Wardrobe 4 |                                                                                          |                                               Sulevia's ring
              Odr Earring |          0 |           Wardrobe 5 |                                                                                          |                                                  Odr earring
         Charmer's Merlin |          0 |                 Safe |                                                                                          |                                             charmer's merlin
         Metamor. Ring +1 |          0 |           Wardrobe 5 |                                                                                          |                                            metamorph ring +1
         Heishi Shorinken |          0 |           Wardrobe 2 |                                                                                          |                                             Heishi Shorinken
              Adad Amulet |          0 |           Wardrobe 4 |                                                                                          |                                                  Adad amulet
           Bale Burgeonet |          0 |               Safe 2 |                                                                                          |                                               bale burgeonet
         Wh. Rarab Cap +1 |          0 |            Inventory |                                                                                          |                                           white rarab cap +1
                  Kanaria |          0 |               Safe 2 |                                                                                          |                                                      Kanaria
         Crepuscular Ring |          0 |           Wardrobe 7 |                                                                                          |                                             crepuscular ring
                     Earp |          0 |                 Sack |                                                                                          |                                                         Earp
              Olseni Belt |          0 |           Wardrobe 5 |                                                                                          |                                                  olseni belt
         Lugra Earring +1 |          0 |            Inventory |                                                                                          |                                             lugra earring +1
      Founder's Gauntlets |          0 |            Inventory |                                                                                          |                                          founder's gauntlets
          Boii Earring +1 |          0 |            Inventory |                                                                                          |                                              boii earring +1
        Chev. Sabatons +2 |          0 |               Safe 2 |                                                                                          |                                      chevalier's sabatons +2
         Malignance Sword |          0 |               Safe 2 |                                                                                          |                                             malignance sword
            Twilight Cape |          0 |           Wardrobe 6 |                                                                                          |                                                Twilight cape
          Tempus Fugit +1 |          0 |             Wardrobe |                                                                                          |                                              tempus fugit +1
         Dedition Earring |          0 |           Wardrobe 5 |                                                                                          |                                             dedition earring
             Shamash Robe |          0 |           Wardrobe 5 |                                                                                          |                                                 Shamash robe
        Founder's Greaves |          0 |           Wardrobe 7 |                                                                                          |                                            founder's greaves
           Goldsm. Torque |          0 |           Wardrobe 5 |                                                                                          |                                           goldsmith's torque
          Enticer's Pants |          0 |           Wardrobe 7 |                                                                                          |                                              enticer's pants
                 Zulfiqar |          0 |              Satchel |                                                                                          |                                                     zulfiqar
                 Ea Cuffs |          0 |           Wardrobe 6 |                                                                                          |                                                     Ea cuffs
        Hiza. Sune-Ate +2 |          0 |           Wardrobe 6 |                                                                                          |                                         Hizamaru sune-ate +2
         Tot. Jackcoat +2 |          0 |                 Safe |                                                                                          |                                          totemic jackcoat +2
            Valorous Mail |          0 |       Safe 2, Safe 2 |                                                                                          |                                                valorous mail
               Saida Ring |          0 |             Wardrobe |                                                                                          |                                                   saida ring
          Abdhaljs Matter |          0 |               Locker |                                                                                          |                                     chunk of Abdhaljs matter
            Cehuetzi Pelt |          0 |              Satchel |                                                                                          |                                                cehuetzi pelt
            Balarama Grip |          0 |               Locker |                                                                                          |                                                balarama grip
            Ryuo Somen +1 |          0 |             Wardrobe |                                                                                          |                                                ryuo somen +1
              Prolix Ring |          0 |           Wardrobe 3 |                                                                                          |                                                  prolix ring
